Month,Average_GHI,Average_DHI
01,350.78990901571547,170.65632754342434
02,322.9258241758242,135.74725274725276
03,298.6377171215881,72.66397849462366
04,365.48482905982905,152.932905982906
05,362.27646815550037,175.15984284532672
06,381.80897435897435,207.40021367521368
07,375.19747725392887,197.0885028949545
08,391.0570719602978,228.91066997518612
09,428.2705128205128,246.94978632478632
10,428.7204301075269,223.3198924731183
11,423.5740740740741,231.64814814814815
