Date,GHI,DNI,DHI,TEMP,WS,WD,flagR,SE,SA,RH,AP,PWAT,WG,PREC,Time
15.03.2023,0,0,0,13.1,1.1,328,0,-11.6,88.17,92.9,748.8,23.8,2.5,0.6, 19:05
15.03.2023,0,0,0,13.0,1.1,328,0,-14.1,88.2,93.5,748.9,23.8,2.5,0.6, 19:15
15.03.2023,0,0,0,12.9,1.1,329,0,-16.6,88.24,94.1,749.0,23.8,2.5,0.6, 19:25
15.03.2023,0,0,0,12.8,1.2,329,0,-19.09,88.26,94.7,749.2,23.8,1.9,0.7, 19:35
15.03.2023,0,0,0,12.8,1.2,330,0,-21.59,88.29,95.2,749.3,23.8,1.9,0.7, 19:45
15.03.2023,0,0,0,12.7,1.2,330,0,-24.08,88.31,95.8,749.5,23.8,1.9,0.7, 19:55
15.03.2023,0,0,0,12.6,1.2,331,0,-26.58,88.33,96.3,749.6,23.7,1.9,0.7, 20:05
15.03.2023,0,0,0,12.6,1.1,331,0,-29.08,88.35,96.7,749.7,23.7,1.9,0.7, 20:15
15.03.2023,0,0,0,12.5,1.1,331,0,-31.57,88.36,97.0,749.8,23.7,1.9,0.7, 20:25
15.03.2023,0,0,0,12.5,1.1,332,0,-34.07,88.37,97.4,749.8,23.7,2.1,0.4, 20:35
15.03.2023,0,0,0,12.4,1.0,332,0,-36.57,88.37,97.8,749.9,23.7,2.1,0.4, 20:45
15.03.2023,0,0,0,12.3,1.0,332,0,-39.07,88.37,98.1,750.0,23.7,2.1,0.4, 20:55
15.03.2023,0,0,0,12.3,0.9,332,0,-41.56,88.36,98.5,750.0,23.6,2.1,0.4, 21:05
15.03.2023,0,0,0,12.2,0.9,330,0,-44.06,88.35,98.7,750.1,23.6,2.1,0.4, 21:15
15.03.2023,0,0,0,12.1,0.8,328,0,-46.56,88.33,99.0,750.1,23.6,2.1,0.4, 21:25
15.03.2023,0,0,0,12.0,0.7,326,0,-49.06,88.3,99.2,750.2,23.6,2.3,0.5, 21:35
15.03.2023,0,0,0,11.9,0.7,323,0,-51.55,88.27,99.4,750.3,23.6,2.3,0.5, 21:45
15.03.2023,0,0,0,11.8,0.6,320,0,-54.05,88.22,99.0,750.3,23.5,2.3,0.5, 21:55
15.03.2023,0,0,0,11.7,0.6,315,0,-56.55,88.16,99.0,750.4,23.5,2.3,0.5, 22:05
15.03.2023,0,0,0,11.7,0.5,313,0,-59.05,88.09,99.0,750.4,23.5,2.3,0.5, 22:15
15.03.2023,0,0,0,11.7,0.5,311,0,-61.54,87.99,99.0,750.4,23.4,2.3,0.5, 22:25
15.03.2023,0,0,0,11.7,0.5,309,0,-64.04,87.87,99.0,750.4,23.4,2.2,0.4, 22:35
15.03.2023,0,0,0,11.8,0.4,307,0,-66.54,87.71,99.0,750.4,23.3,2.2,0.4, 22:45
15.03.2023,0,0,0,11.8,0.4,304,0,-69.03,87.51,99.0,750.4,23.3,2.2,0.4, 22:55
15.03.2023,0,0,0,11.9,0.4,302,0,-71.53,87.25,99.0,750.3,23.2,2.2,0.4, 23:05
15.03.2023,0,0,0,11.9,0.3,305,0,-74.03,86.89,99.0,750.3,23.2,2.2,0.4, 23:15
15.03.2023,0,0,0,12.0,0.3,308,0,-76.52,86.38,99.0,750.2,23.1,2.2,0.4, 23:25
15.03.2023,0,0,0,12.0,0.3,313,0,-79.01,85.63,99.0,750.2,23.1,2.6,0.5, 23:35
15.03.2023,0,0,0,12.1,0.2,319,0,-81.5,84.43,99.0,750.1,23.0,2.6,0.5, 23:45
15.03.2023,0,0,0,12.1,0.2,326,0,-83.99,82.2,99.0,750.1,23.0,2.6,0.5, 23:55
15.03.2023,0,0,0,12.2,0.2,335,0,-86.45,76.82,99.0,750.0,22.9,2.6,0.5, 00:05
15.03.2023,0,0,0,12.2,0.2,318,0,-88.75,50.12,99.0,749.9,22.9,2.6,0.5, 00:15
15.03.2023,0,0,0,12.1,0.2,297,0,-88.28,-62.1,99.0,749.8,22.8,2.6,0.5, 00:25
15.03.2023,0,0,0,12.1,0.2,275,0,-85.9,-78.59,99.0,749.7,22.8,2.9,0.4, 00:35
15.03.2023,0,0,0,12.1,0.2,259,0,-83.43,-82.85,99.0,749.6,22.7,2.9,0.4, 00:45
15.03.2023,0,0,0,12.0,0.2,248,0,-80.95,-84.76,99.0,749.6,22.7,2.9,0.4, 00:55
15.03.2023,0,0,0,12.0,0.3,241,0,-78.45,-85.83,99.0,749.5,22.6,2.9,0.4, 01:05
15.03.2023,0,0,0,11.9,0.3,239,0,-75.96,-86.51,99.0,749.4,22.6,2.9,0.4, 01:15
15.03.2023,0,0,0,11.9,0.3,237,0,-73.47,-86.98,99.0,749.3,22.5,2.9,0.4, 01:25
15.03.2023,0,0,0,11.8,0.3,236,0,-70.97,-87.31,99.0,749.2,22.4,2.7,1.0, 01:35
15.03.2023,0,0,0,11.7,0.3,234,0,-68.47,-87.56,99.0,749.1,22.4,2.7,1.0, 01:45
15.03.2023,0,0,0,11.6,0.3,233,0,-65.98,-87.75,99.0,749.0,22.3,2.7,1.0, 01:55
15.03.2023,0,0,0,11.5,0.3,232,0,-63.48,-87.9,99.0,748.9,22.3,2.7,1.0, 02:05
15.03.2023,0,0,0,11.5,0.3,227,0,-60.98,-88.01,99.0,748.8,22.2,2.7,1.0, 02:15
15.03.2023,0,0,0,11.4,0.4,223,0,-58.48,-88.1,99.0,748.8,22.2,2.7,1.0, 02:25
15.03.2023,0,0,0,11.4,0.4,219,0,-55.99,-88.18,99.0,748.8,22.1,3.2,1.1, 02:35
15.03.2023,0,0,0,11.3,0.4,215,0,-53.49,-88.23,99.0,748.8,22.1,3.2,1.1, 02:45
15.03.2023,0,0,0,11.3,0.4,212,0,-50.99,-88.28,99.0,748.7,22.0,3.2,1.1, 02:55
15.03.2023,0,0,0,11.3,0.4,209,0,-48.49,-88.31,99.0,748.7,22.0,3.2,1.1, 03:05
15.03.2023,0,0,0,11.3,0.4,205,0,-46.0,-88.34,99.0,748.7,22.0,3.2,1.1, 03:15
15.03.2023,0,0,0,11.3,0.4,202,0,-43.5,-88.35,99.0,748.6,21.9,3.2,1.1, 03:25
15.03.2023,0,0,0,11.3,0.5,198,0,-41.0,-88.37,99.0,748.6,21.9,3.1,1.0, 03:35
15.03.2023,0,0,0,11.3,0.5,196,0,-38.5,-88.37,99.0,748.6,21.9,3.1,1.0, 03:45
15.03.2023,0,0,0,11.3,0.5,193,0,-36.01,-88.37,99.0,748.5,21.8,3.1,1.0, 03:55
15.03.2023,0,0,0,11.3,0.5,191,0,-33.51,-88.37,99.0,748.5,21.8,3.1,1.0, 04:05
15.03.2023,0,0,0,11.1,0.5,192,0,-31.01,-88.36,99.0,748.5,21.7,3.1,1.0, 04:15
15.03.2023,0,0,0,11.0,0.5,194,0,-28.52,-88.35,99.0,748.5,21.6,3.1,1.0, 04:25
15.03.2023,0,0,0,10.8,0.4,195,0,-26.02,-88.33,99.5,748.5,21.4,3.3,1.2, 04:35
15.03.2023,0,0,0,10.6,0.4,198,0,-23.52,-88.31,99.3,748.5,21.3,3.3,1.2, 04:45
15.03.2023,0,0,0,10.4,0.4,201,0,-21.03,-88.29,99.2,748.5,21.2,3.3,1.2, 04:55
15.03.2023,0,0,0,10.2,0.3,204,0,-18.53,-88.26,99.0,748.6,21.1,3.3,1.2, 05:05
15.03.2023,0,0,0,10.2,0.4,203,0,-16.04,-88.23,98.9,748.7,21.1,3.3,1.2, 05:15
15.03.2023,0,0,0,10.2,0.4,203,0,-13.54,-88.2,98.8,748.9,21.1,3.3,1.2, 05:25
15.03.2023,0,0,0,10.2,0.4,203,0,-11.04,-88.16,98.7,749.0,21.1,3.4,0.9, 05:35
15.03.2023,0,0,0,10.3,0.5,202,0,-8.51,-88.12,98.6,749.2,21.1,3.4,0.9, 05:45
15.03.2023,0,0,0,10.3,0.5,202,0,-5.86,-88.08,98.5,749.3,21.1,3.4,0.9, 05:55
15.03.2023,0,0,0,10.4,0.6,202,0,-2.32,-88.03,98.4,749.5,21.1,3.4,0.9, 06:05
15.03.2023,0,0,0,10.4,0.5,198,0,-0.16,-87.98,98.2,749.5,21.1,3.4,0.9, 06:15
15.03.2023,7,0,7,10.4,0.5,194,3,1.83,-87.92,98.0,749.6,21.0,3.4,0.9, 06:25
15.03.2023,26,7,25,10.4,0.5,190,3,4.18,-87.87,97.8,749.6,21.0,3.2,1.1, 06:35
15.03.2023,47,28,44,10.4,0.5,185,3,6.61,-87.8,97.7,749.7,21.0,3.2,1.1, 06:45
15.03.2023,69,44,63,10.4,0.4,179,1,9.07,-87.74,97.5,749.7,21.0,3.2,1.1, 06:55
15.03.2023,76,22,71,10.4,0.4,173,1,11.55,-87.66,97.3,749.8,21.0,3.2,1.1, 07:05
15.03.2023,73,0,73,10.4,0.4,166,1,14.04,-87.59,97.5,749.9,20.9,3.2,1.1, 07:15
15.03.2023,68,0,68,10.4,0.4,160,1,16.52,-87.5,97.6,750.0,20.9,3.2,1.1, 07:25
15.03.2023,92,0,92,10.4,0.5,154,1,19.01,-87.42,97.8,750.2,20.9,3.6,1.5, 07:35
15.03.2023,104,0,104,10.4,0.5,149,1,21.5,-87.32,97.9,750.3,20.8,3.6,1.5, 07:45
15.03.2023,111,0,111,10.4,0.5,144,1,24.0,-87.22,98.1,750.5,20.8,3.6,1.5, 07:55
15.03.2023,96,0,96,10.5,0.5,140,1,26.49,-87.1,98.1,750.6,20.8,3.6,1.5, 08:05
15.03.2023,114,0,114,10.7,0.5,135,1,28.98,-86.98,97.0,750.7,20.8,3.6,1.5, 08:15
15.03.2023,104,0,104,10.9,0.5,131,1,31.48,-86.85,95.8,750.7,20.8,3.6,1.5, 08:25
15.03.2023,121,0,121,11.1,0.5,126,1,33.97,-86.71,94.5,750.8,20.8,2.7,1.9, 08:35
15.03.2023,143,0,143,11.3,0.5,121,1,36.46,-86.55,93.3,750.9,20.8,2.7,1.9, 08:45
15.03.2023,145,0,145,11.5,0.5,117,1,38.96,-86.38,92.1,750.9,20.8,2.7,1.9, 08:55
15.03.2023,138,0,138,11.7,0.6,113,1,41.45,-86.18,90.9,751.0,20.8,2.7,1.9, 09:05
15.03.2023,134,0,134,11.8,0.6,113,1,43.94,-85.97,90.4,751.0,20.8,2.7,1.9, 09:15
15.03.2023,142,0,142,11.9,0.6,113,1,46.43,-85.74,89.9,751.1,20.8,2.7,1.9, 09:25
15.03.2023,157,0,156,11.9,0.6,114,1,48.92,-85.47,89.4,751.1,20.8,3.1,1.0, 09:35
15.03.2023,174,0,174,12.0,0.6,114,1,51.41,-85.18,89.0,751.1,20.8,3.1,1.0, 09:45
15.03.2023,187,1,186,12.0,0.6,114,1,53.9,-84.84,88.6,751.1,20.8,3.1,1.0, 09:55
15.03.2023,195,1,194,12.0,0.6,115,1,56.39,-84.45,88.2,751.2,20.8,3.1,1.0, 10:05
15.03.2023,198,1,198,12.0,0.6,112,1,58.88,-84.0,88.2,751.2,20.9,3.1,1.0, 10:15
15.03.2023,204,1,203,12.0,0.5,110,1,61.36,-83.47,88.3,751.2,20.9,3.1,1.0, 10:25
15.03.2023,227,1,226,12.0,0.5,107,1,63.84,-82.84,88.3,751.1,20.9,3.3,1.5, 10:35
15.03.2023,241,3,238,12.0,0.5,104,2,66.32,-82.08,88.3,751.1,20.9,3.3,1.5, 10:45
15.03.2023,255,4,252,12.0,0.5,100,1,68.79,-81.15,88.3,751.1,21.0,3.3,1.5, 10:55
15.03.2023,273,4,268,12.1,0.4,96,1,71.26,-79.96,88.3,751.1,21.0,3.3,1.5, 11:05
15.03.2023,294,6,288,12.3,0.4,90,1,73.71,-78.43,86.9,751.0,21.0,3.3,1.5, 11:15
15.03.2023,316,10,306,12.6,0.3,81,1,76.15,-76.35,85.4,750.9,20.9,3.3,1.5, 11:25
15.03.2023,314,7,307,13.0,0.3,71,1,78.57,-73.38,83.9,750.7,20.9,3.1,0.8, 11:35
15.03.2023,287,6,281,13.3,0.3,58,1,80.93,-68.86,82.4,750.6,20.9,3.1,0.8, 11:45
15.03.2023,267,4,263,13.6,0.3,43,1,83.2,-61.25,80.9,750.5,20.9,3.1,0.8, 11:55
15.03.2023,263,4,259,13.9,0.3,29,2,85.24,-46.65,79.5,750.4,20.9,3.1,0.8, 12:05
15.03.2023,258,4,254,14.1,0.4,16,2,86.59,-16.48,78.7,750.2,20.9,3.1,0.8, 12:15
15.03.2023,252,5,247,14.2,0.5,8,1,86.39,25.05,77.9,750.1,20.9,3.1,0.8, 12:25
15.03.2023,281,6,275,14.4,0.6,3,1,84.82,50.9,77.2,749.9,21.0,3.1,2.3, 12:35
15.03.2023,280,5,276,14.5,0.7,360,1,82.71,63.37,76.5,749.8,21.0,3.1,2.3, 12:45
15.03.2023,260,4,256,14.6,0.8,357,1,80.41,70.07,75.8,749.7,21.1,3.1,2.3, 12:55
15.03.2023,256,4,253,14.7,0.9,355,1,78.03,74.15,75.1,749.5,21.1,3.1,2.3, 13:05
15.03.2023,256,4,252,14.7,0.9,352,1,75.61,76.87,75.3,749.4,21.2,3.1,2.3, 13:15
15.03.2023,252,4,248,14.8,1.0,350,1,73.16,78.81,75.6,749.2,21.2,3.1,2.3, 13:25
15.03.2023,256,4,252,14.8,1.0,347,1,70.71,80.26,75.9,749.1,21.2,4.6,0.6, 13:35
15.03.2023,235,3,232,14.8,1.1,345,1,68.24,81.37,76.2,749.0,21.2,4.6,0.6, 13:45
15.03.2023,218,3,215,14.8,1.1,343,1,65.76,82.27,76.6,748.9,21.3,4.6,0.6, 13:55
15.03.2023,196,1,195,14.7,1.2,342,1,63.29,82.99,77.0,748.7,21.3,4.6,0.6, 14:05
15.03.2023,175,1,175,14.6,1.2,341,1,60.8,83.6,78.2,748.6,21.3,4.6,0.6, 14:15
15.03.2023,162,0,161,14.5,1.3,341,1,58.32,84.1,79.4,748.5,21.3,4.6,0.6, 14:25
15.03.2023,161,0,161,14.4,1.3,340,1,55.83,84.54,80.6,748.4,21.3,5.7,0.4, 14:35
15.03.2023,172,0,172,14.3,1.4,340,1,53.35,84.92,81.7,748.3,21.3,5.7,0.4, 14:45
15.03.2023,171,0,171,14.2,1.4,340,1,50.86,85.25,82.9,748.1,21.3,5.7,0.4, 14:55
15.03.2023,191,3,189,14.1,1.5,339,1,48.37,85.54,83.9,748.0,21.3,5.7,0.4, 15:05
15.03.2023,159,1,158,14.2,1.5,340,1,45.87,85.79,83.2,748.0,21.3,5.7,0.4, 15:15
15.03.2023,142,0,142,14.3,1.6,341,1,43.38,86.02,82.3,747.9,21.3,5.7,0.4, 15:25
15.03.2023,119,0,119,14.4,1.6,341,1,40.89,86.23,81.4,747.8,21.3,5.9,0.2, 15:35
15.03.2023,108,0,108,14.6,1.6,342,1,38.4,86.42,80.6,747.8,21.3,5.9,0.2, 15:45
15.03.2023,91,0,91,14.7,1.6,342,1,35.9,86.59,79.7,747.7,21.2,5.9,0.2, 15:55
15.03.2023,92,0,92,14.7,1.7,343,1,33.41,86.74,78.9,747.7,21.2,5.9,0.2, 16:05
15.03.2023,92,0,92,14.6,1.7,344,1,30.92,86.88,80.1,747.6,21.2,5.9,0.2, 16:15
15.03.2023,99,0,99,14.5,1.6,345,1,28.42,87.01,81.2,747.6,21.2,5.9,0.2, 16:25
15.03.2023,127,0,127,14.3,1.6,346,1,25.93,87.13,82.5,747.6,21.1,5.3,0.2, 16:35
15.03.2023,168,34,155,14.1,1.6,346,1,23.44,87.24,83.7,747.6,21.1,5.3,0.2, 16:45
15.03.2023,174,50,156,14.0,1.6,347,1,20.95,87.34,84.9,747.6,21.1,5.3,0.2, 16:55
15.03.2023,161,60,142,13.8,1.6,348,1,18.45,87.44,86.1,747.6,21.0,5.3,0.2, 17:05
