air_temp,albedo,clearsky_ghi,clearsky_gti,cloud_opacity,dewpoint_temp,GHI,gti,period_end,period,Date,Time
15,0.14,0,0,65.4,12.7,0,0,2023-04-19T00:00:00Z,PT5M,2023-04-19, 19:00
15,0.14,0,0,62.3,12.7,0,0,2023-04-19T00:05:00Z,PT5M,2023-04-19, 19:05
15,0.14,0,0,60.1,12.7,0,0,2023-04-19T00:10:00Z,PT5M,2023-04-19, 19:10
14,0.14,0,0,56.7,12.7,0,0,2023-04-19T00:15:00Z,PT5M,2023-04-19, 19:15
14,0.14,0,0,48.4,12.8,0,0,2023-04-19T00:20:00Z,PT5M,2023-04-19, 19:20
14,0.14,0,0,45.8,12.8,0,0,2023-04-19T00:25:00Z,PT5M,2023-04-19, 19:25
14,0.14,0,0,43.2,12.8,0,0,2023-04-19T00:30:00Z,PT5M,2023-04-19, 19:30
14,0.14,0,0,43.2,12.8,0,0,2023-04-19T00:35:00Z,PT5M,2023-04-19, 19:35
14,0.14,0,0,37.8,12.8,0,0,2023-04-19T00:40:00Z,PT5M,2023-04-19, 19:40
14,0.14,0,0,39.2,12.8,0,0,2023-04-19T00:45:00Z,PT5M,2023-04-19, 19:45
14,0.14,0,0,40.5,12.9,0,0,2023-04-19T00:50:00Z,PT5M,2023-04-19, 19:50
14,0.14,0,0,40.5,12.9,0,0,2023-04-19T00:55:00Z,PT5M,2023-04-19, 19:55
14,0.14,0,0,40.5,12.9,0,0,2023-04-19T01:00:00Z,PT5M,2023-04-19, 20:00
14,0.14,0,0,40.5,12.9,0,0,2023-04-19T01:05:00Z,PT5M,2023-04-19, 20:05
14,0.14,0,0,39.2,12.9,0,0,2023-04-19T01:10:00Z,PT5M,2023-04-19, 20:10
14,0.14,0,0,36.4,12.9,0,0,2023-04-19T01:15:00Z,PT5M,2023-04-19, 20:15
14,0.14,0,0,33.6,12.9,0,0,2023-04-19T01:20:00Z,PT5M,2023-04-19, 20:20
14,0.14,0,0,33.6,12.9,0,0,2023-04-19T01:25:00Z,PT5M,2023-04-19, 20:25
14,0.14,0,0,32.1,12.9,0,0,2023-04-19T01:30:00Z,PT5M,2023-04-19, 20:30
14,0.14,0,0,32.1,13.0,0,0,2023-04-19T01:35:00Z,PT5M,2023-04-19, 20:35
14,0.14,0,0,30.7,13.0,0,0,2023-04-19T01:40:00Z,PT5M,2023-04-19, 20:40
14,0.14,0,0,32.1,13.0,0,0,2023-04-19T01:45:00Z,PT5M,2023-04-19, 20:45
14,0.14,0,0,30.7,13.0,0,0,2023-04-19T01:50:00Z,PT5M,2023-04-19, 20:50
14,0.14,0,0,32.1,13.0,0,0,2023-04-19T01:55:00Z,PT5M,2023-04-19, 20:55
14,0.14,0,0,32.1,13.0,0,0,2023-04-19T02:00:00Z,PT5M,2023-04-19, 21:00
14,0.14,0,0,32.1,13.0,0,0,2023-04-19T02:05:00Z,PT5M,2023-04-19, 21:05
14,0.14,0,0,30.7,13.0,0,0,2023-04-19T02:10:00Z,PT5M,2023-04-19, 21:10
14,0.14,0,0,27.7,12.9,0,0,2023-04-19T02:15:00Z,PT5M,2023-04-19, 21:15
14,0.14,0,0,30.7,12.9,0,0,2023-04-19T02:20:00Z,PT5M,2023-04-19, 21:20
14,0.14,0,0,36.4,12.8,0,0,2023-04-19T02:25:00Z,PT5M,2023-04-19, 21:25
14,0.14,0,0,37.8,12.8,0,0,2023-04-19T02:30:00Z,PT5M,2023-04-19, 21:30
14,0.14,0,0,45.8,12.8,0,0,2023-04-19T02:35:00Z,PT5M,2023-04-19, 21:35
14,0.14,0,0,55.6,12.8,0,0,2023-04-19T02:40:00Z,PT5M,2023-04-19, 21:40
14,0.14,0,0,61.2,12.7,0,0,2023-04-19T02:45:00Z,PT5M,2023-04-19, 21:45
14,0.14,0,0,62.3,12.7,0,0,2023-04-19T02:50:00Z,PT5M,2023-04-19, 21:50
14,0.14,0,0,57.9,12.7,0,0,2023-04-19T02:55:00Z,PT5M,2023-04-19, 21:55
14,0.14,0,0,52.0,12.6,0,0,2023-04-19T03:00:00Z,PT5M,2023-04-19, 22:00
14,0.14,0,0,44.5,12.6,0,0,2023-04-19T03:05:00Z,PT5M,2023-04-19, 22:05
14,0.14,0,0,39.2,12.7,0,0,2023-04-19T03:10:00Z,PT5M,2023-04-19, 22:10
14,0.14,0,0,36.4,12.7,0,0,2023-04-19T03:15:00Z,PT5M,2023-04-19, 22:15
14,0.14,0,0,35.0,12.7,0,0,2023-04-19T03:20:00Z,PT5M,2023-04-19, 22:20
14,0.14,0,0,39.2,12.8,0,0,2023-04-19T03:25:00Z,PT5M,2023-04-19, 22:25
14,0.14,0,0,43.2,12.8,0,0,2023-04-19T03:30:00Z,PT5M,2023-04-19, 22:30
14,0.14,0,0,37.8,12.8,0,0,2023-04-19T03:35:00Z,PT5M,2023-04-19, 22:35
14,0.14,0,0,36.4,12.8,0,0,2023-04-19T03:40:00Z,PT5M,2023-04-19, 22:40
14,0.14,0,0,39.2,12.9,0,0,2023-04-19T03:45:00Z,PT5M,2023-04-19, 22:45
14,0.14,0,0,41.9,12.9,0,0,2023-04-19T03:50:00Z,PT5M,2023-04-19, 22:50
14,0.14,0,0,44.5,13.0,0,0,2023-04-19T03:55:00Z,PT5M,2023-04-19, 22:55
14,0.14,0,0,45.8,13.0,0,0,2023-04-19T04:00:00Z,PT5M,2023-04-19, 23:00
14,0.14,0,0,44.5,13.0,0,0,2023-04-19T04:05:00Z,PT5M,2023-04-19, 23:05
14,0.14,0,0,44.5,12.8,0,0,2023-04-19T04:10:00Z,PT5M,2023-04-19, 23:10
14,0.14,0,0,44.5,12.8,0,0,2023-04-19T04:15:00Z,PT5M,2023-04-19, 23:15
14,0.14,0,0,45.8,12.6,0,0,2023-04-19T04:20:00Z,PT5M,2023-04-19, 23:20
13,0.14,0,0,49.6,12.6,0,0,2023-04-19T04:25:00Z,PT5M,2023-04-19, 23:25
13,0.14,0,0,54.4,12.5,0,0,2023-04-19T04:30:00Z,PT5M,2023-04-19, 23:30
13,0.14,0,0,55.6,12.4,0,0,2023-04-19T04:35:00Z,PT5M,2023-04-19, 23:35
13,0.14,0,0,60.1,12.2,0,0,2023-04-19T04:40:00Z,PT5M,2023-04-19, 23:40
13,0.14,0,0,64.3,12.2,0,0,2023-04-19T04:45:00Z,PT5M,2023-04-19, 23:45
13,0.14,0,0,67.4,12.0,0,0,2023-04-19T04:50:00Z,PT5M,2023-04-19, 23:50
13,0.14,0,0,69.3,12.0,0,0,2023-04-19T04:55:00Z,PT5M,2023-04-19, 23:55
12,0.14,0,0,67.4,11.9,0,0,2023-04-19T05:00:00Z,PT5M,2023-04-19, 00:00
12,0.14,0,0,62.3,11.8,0,0,2023-04-19T05:05:00Z,PT5M,2023-04-19, 00:05
12,0.14,0,0,54.4,11.8,0,0,2023-04-19T05:10:00Z,PT5M,2023-04-19, 00:10
12,0.14,0,0,52.0,11.8,0,0,2023-04-19T05:15:00Z,PT5M,2023-04-19, 00:15
12,0.14,0,0,52.0,11.8,0,0,2023-04-19T05:20:00Z,PT5M,2023-04-19, 00:20
12,0.14,0,0,50.8,11.8,0,0,2023-04-19T05:25:00Z,PT5M,2023-04-19, 00:25
12,0.14,0,0,49.6,11.8,0,0,2023-04-19T05:30:00Z,PT5M,2023-04-19, 00:30
12,0.14,0,0,48.4,11.9,0,0,2023-04-19T05:35:00Z,PT5M,2023-04-19, 00:35
12,0.14,0,0,48.4,11.9,0,0,2023-04-19T05:40:00Z,PT5M,2023-04-19, 00:40
12,0.14,0,0,45.8,11.9,0,0,2023-04-19T05:45:00Z,PT5M,2023-04-19, 00:45
12,0.14,0,0,41.9,11.9,0,0,2023-04-19T05:50:00Z,PT5M,2023-04-19, 00:50
12,0.14,0,0,43.2,11.9,0,0,2023-04-19T05:55:00Z,PT5M,2023-04-19, 00:55
12,0.14,0,0,40.5,11.9,0,0,2023-04-19T06:00:00Z,PT5M,2023-04-19, 01:00
12,0.14,0,0,39.2,11.9,0,0,2023-04-19T06:05:00Z,PT5M,2023-04-19, 01:05
12,0.14,0,0,37.8,11.9,0,0,2023-04-19T06:10:00Z,PT5M,2023-04-19, 01:10
12,0.14,0,0,39.2,11.9,0,0,2023-04-19T06:15:00Z,PT5M,2023-04-19, 01:15
12,0.14,0,0,44.5,11.9,0,0,2023-04-19T06:20:00Z,PT5M,2023-04-19, 01:20
13,0.14,0,0,55.6,11.9,0,0,2023-04-19T06:25:00Z,PT5M,2023-04-19, 01:25
13,0.14,0,0,65.4,11.9,0,0,2023-04-19T06:30:00Z,PT5M,2023-04-19, 01:30
13,0.14,0,0,77.2,11.8,0,0,2023-04-19T06:35:00Z,PT5M,2023-04-19, 01:35
13,0.14,0,0,85.7,11.8,0,0,2023-04-19T06:40:00Z,PT5M,2023-04-19, 01:40
13,0.14,0,0,89.6,11.8,0,0,2023-04-19T06:45:00Z,PT5M,2023-04-19, 01:45
13,0.14,0,0,93.4,11.8,0,0,2023-04-19T06:50:00Z,PT5M,2023-04-19, 01:50
13,0.14,0,0,94.7,11.8,0,0,2023-04-19T06:55:00Z,PT5M,2023-04-19, 01:55
13,0.14,0,0,95.0,11.8,0,0,2023-04-19T07:00:00Z,PT5M,2023-04-19, 02:00
13,0.14,0,0,95.0,11.8,0,0,2023-04-19T07:05:00Z,PT5M,2023-04-19, 02:05
13,0.14,0,0,95.0,11.8,0,0,2023-04-19T07:10:00Z,PT5M,2023-04-19, 02:10
13,0.14,0,0,94.7,11.8,0,0,2023-04-19T07:15:00Z,PT5M,2023-04-19, 02:15
13,0.14,0,0,94.7,11.7,0,0,2023-04-19T07:20:00Z,PT5M,2023-04-19, 02:20
13,0.14,0,0,94.7,11.7,0,0,2023-04-19T07:25:00Z,PT5M,2023-04-19, 02:25
13,0.14,0,0,94.7,11.7,0,0,2023-04-19T07:30:00Z,PT5M,2023-04-19, 02:30
13,0.14,0,0,94.7,11.7,0,0,2023-04-19T07:35:00Z,PT5M,2023-04-19, 02:35
13,0.14,0,0,95.0,11.7,0,0,2023-04-19T07:40:00Z,PT5M,2023-04-19, 02:40
13,0.14,0,0,95.0,11.7,0,0,2023-04-19T07:45:00Z,PT5M,2023-04-19, 02:45
13,0.14,0,0,95.0,11.6,0,0,2023-04-19T07:50:00Z,PT5M,2023-04-19, 02:50
12,0.14,0,0,95.0,11.6,0,0,2023-04-19T07:55:00Z,PT5M,2023-04-19, 02:55
12,0.14,0,0,95.0,11.6,0,0,2023-04-19T08:00:00Z,PT5M,2023-04-19, 03:00
12,0.14,0,0,95.0,11.6,0,0,2023-04-19T08:05:00Z,PT5M,2023-04-19, 03:05
12,0.14,0,0,95.0,11.6,0,0,2023-04-19T08:10:00Z,PT5M,2023-04-19, 03:10
12,0.14,0,0,95.0,11.6,0,0,2023-04-19T08:15:00Z,PT5M,2023-04-19, 03:15
