Corriente CA L1 | FRONIUS Symo 15.0-3 208 (1),Corriente CA L2 | FRONIUS Symo 15.0-3 208 (1),Corriente CA L3 | FRONIUS Symo 15.0-3 208 (1),Corriente CC MPP1 | FRONIUS Symo 15.0-3 208 (1),Corriente CC MPP2 | FRONIUS Symo 15.0-3 208 (1),Energía | FRONIUS Symo 15.0-3 208 (1),Energía MPP1 | FRONIUS Symo 15.0-3 208 (1),Energía MPP2 | FRONIUS Symo 15.0-3 208 (1),Factor de potencia | FRONIUS Symo 15.0-3 208 (1),Potencia aparente | FRONIUS Symo 15.0-3 208 (1),Potencia reactiva | FRONIUS Symo 15.0-3 208 (1),Rendimiento específico | FRONIUS Symo 15.0-3 208 (1),Tensión CA L1-L2 | FRONIUS Symo 15.0-3 208 (1),Tensión CA L2-L3 | FRONIUS Symo 15.0-3 208 (1),Tensión CA L3-L1 | FRONIUS Symo 15.0-3 208 (1),Tensión CC MPP1 | FRONIUS Symo 15.0-3 208 (1),Tensión CC MPP2 | FRONIUS Symo 15.0-3 208 (1),Consumido directamente,Consumo,Energía guardada en la batería,Energía obtenida de la batería,Energía obtenida de la red,Energía suministrada a la red,Producción fotovoltaica,Hora,Fecha
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.341,21.341,0.0,2.0,0.0,0.0,2.0,0.0,0.0,00:00,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1,57.1,0.0,2.0,0.0,0.0,2.0,0.0,0.0,00:05,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.312,34.312,0.0,2.0,0.0,0.0,2.0,0.0,0.0,00:10,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,21.3,0.0,2.0,0.0,0.0,2.0,0.0,0.0,00:15,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.483,19.483,0.0,2.0,0.0,0.0,2.0,0.0,0.0,00:20,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,16.9,0.0,2.0,0.0,0.0,2.0,0.0,0.0,00:25,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.487,16.487,0.0,2.0,0.0,0.0,2.0,0.0,0.0,00:30,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,14.6,0.0,2.0,0.0,0.0,2.0,0.0,0.0,00:35,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.394,14.394,0.0,2.0,0.0,0.0,2.0,0.0,0.0,00:40,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,13.5,0.0,2.0,0.0,0.0,2.0,0.0,0.0,00:45,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,13.4,0.0,2.0,0.0,0.0,2.0,0.0,0.0,00:50,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.394,13.394,0.0,2.0,0.0,0.0,2.0,0.0,0.0,00:55,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,2.0,0.0,0.0,2.0,0.0,0.0,01:00,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.695,12.695,0.0,2.0,0.0,0.0,2.0,0.0,0.0,01:05,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,11.9,0.0,2.0,0.0,0.0,2.0,0.0,0.0,01:10,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3,12.3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,01:15,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.799,11.799,0.0,2.0,0.0,0.0,2.0,0.0,0.0,01:20,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.702,11.702,0.0,2.0,0.0,0.0,2.0,0.0,0.0,01:25,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,01:30,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.903,11.903,0.0,2.0,0.0,0.0,2.0,0.0,0.0,01:35,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3,12.3,0.0,2.0,0.0,0.0,2.0,0.0,0.0,01:40,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.303,11.303,0.0,2.0,0.0,0.0,2.0,0.0,0.0,01:45,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,11.8,0.0,2.0,0.0,0.0,2.0,0.0,0.0,01:50,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.098,11.098,0.0,2.0,0.0,0.0,2.0,0.0,0.0,01:55,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,10.8,0.0,2.0,0.0,0.0,2.0,0.0,0.0,02:00,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.497,10.497,0.0,2.0,0.0,0.0,2.0,0.0,0.0,02:05,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,02:10,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.396,10.396,0.0,2.0,0.0,0.0,2.0,0.0,0.0,02:15,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,9.8,0.0,2.0,0.0,0.0,2.0,0.0,0.0,02:20,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.298,10.298,0.0,2.0,0.0,0.0,2.0,0.0,0.0,02:25,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,02:30,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.401,10.401,0.0,2.0,0.0,0.0,2.0,0.0,0.0,02:35,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,10.5,0.0,2.0,0.0,0.0,2.0,0.0,0.0,02:40,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.203,10.203,0.0,2.0,0.0,0.0,2.0,0.0,0.0,02:45,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,10.7,0.0,2.0,0.0,0.0,2.0,0.0,0.0,02:50,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.004,10.004,0.0,2.0,0.0,0.0,2.0,0.0,0.0,02:55,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,10.6,0.0,2.0,0.0,0.0,2.0,0.0,0.0,03:00,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.003,10.003,0.0,2.0,0.0,0.0,2.0,0.0,0.0,03:05,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,10.5,0.0,2.0,0.0,0.0,2.0,0.0,0.0,03:10,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.498,10.498,0.0,2.0,0.0,0.0,2.0,0.0,0.0,03:15,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,10.2,0.0,2.0,0.0,0.0,2.0,0.0,0.0,03:20,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.697,10.697,0.0,2.0,0.0,0.0,2.0,0.0,0.0,03:25,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,10.3,0.0,2.0,0.0,0.0,2.0,0.0,0.0,03:30,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.696,10.696,0.0,2.0,0.0,0.0,2.0,0.0,0.0,03:35,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,10.1,0.0,2.0,0.0,0.0,2.0,0.0,0.0,03:40,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.299,10.299,0.0,2.0,0.0,0.0,2.0,0.0,0.0,03:45,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,10.2,0.0,2.0,0.0,0.0,2.0,0.0,0.0,03:50,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.003,10.003,0.0,2.0,0.0,0.0,2.0,0.0,0.0,03:55,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,10.4,0.0,2.0,0.0,0.0,2.0,0.0,0.0,04:00,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.804,9.804,0.0,2.0,0.0,0.0,2.0,0.0,0.0,04:05,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,10.4,0.0,2.0,0.0,0.0,2.0,0.0,0.0,04:10,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.803,9.803,0.0,1.0,0.0,0.0,1.0,0.0,0.0,04:15,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,10.2,0.0,2.0,0.0,0.0,2.0,0.0,0.0,04:20,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.198,10.198,0.0,2.0,0.0,0.0,2.0,0.0,0.0,04:25,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,9.9,0.0,2.0,0.0,0.0,2.0,0.0,0.0,04:30,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.296,10.296,0.0,2.0,0.0,0.0,2.0,0.0,0.0,04:35,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,9.7,0.0,2.0,0.0,0.0,2.0,0.0,0.0,04:40,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.298,10.298,0.0,2.0,0.0,0.0,2.0,0.0,0.0,04:45,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,04:50,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.199,10.199,0.0,2.0,0.0,0.0,2.0,0.0,0.0,04:55,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.099,10.099,0.0,2.0,0.0,0.0,2.0,0.0,0.0,05:00,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,05:05,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.297,10.297,0.0,2.0,0.0,0.0,2.0,0.0,0.0,05:10,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,9.8,0.0,2.0,0.0,0.0,2.0,0.0,0.0,05:15,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.297,10.297,0.0,2.0,0.0,0.0,2.0,0.0,0.0,05:20,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,9.8,0.0,2.0,0.0,0.0,2.0,0.0,0.0,05:25,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.301,10.301,0.0,2.0,0.0,0.0,2.0,0.0,0.0,05:30,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,10.4,0.0,2.0,0.0,0.0,2.0,0.0,0.0,05:35,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.815,10.815,0.0,2.0,0.0,0.0,2.0,0.0,0.0,05:40,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,05:45,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.292,19.292,0.0,2.0,0.0,0.0,2.0,0.0,0.0,05:50,01.01.2023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.8,47.8,0.0,2.0,0.0,0.0,2.0,0.0,0.0,05:55,01.01.2023
0.2205,0.2205,0.2205,0.0,0.0,0.00806,0.0,0.01,0.32,0.3,-0.29,0.0,112.808,112.607,111.707,214.027,214.027,0.01,2.01,0.0,0.0,2.0,0.0,0.01,06:00,01.01.2023
0.29,0.3,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,0.0,114.0,113.7,112.8,455.7,455.7,0.0,2.0,0.0,0.0,2.0,0.0,0.0,06:05,01.01.2023
0.3101,0.3201,0.3201,0.0101,0.0001,0.00048,0.0,0.0,0.01,0.46,0.46,0.0,113.903,113.604,112.703,504.004,504.004,0.0,2.0,0.0,0.0,2.0,0.0,0.0,06:10,01.01.2023
0.33,0.34,0.34,0.03,0.02,0.02953,0.01,0.02,0.63,0.56,0.43,0.0,114.4,114.2,113.2,549.2,549.2,0.03,3.03,0.0,0.0,3.0,0.0,0.03,06:15,01.01.2023
0.6488,0.6485,0.6589,0.0907,0.0806,2.68774,1.39,1.3,0.99,32.71,4.8,0.00022,215.945,215.444,213.743,535.483,535.483,0.0,1.69,0.0,0.0,1.69,2.69,2.69,06:20,01.01.2023
0.47,0.43,0.49,0.19,0.17,12.78615,6.68,6.1,1.0,153.59,6.94,0.00104,222.6,222.0,220.2,562.6,562.6,0.79,1.79,0.0,0.0,1.0,12.0,12.79,06:25,01.01.2023
0.4839,0.4439,0.5039,0.2113,0.1912,14.89732,7.79,7.11,1.0,179.5,7.01,0.00121,223.191,222.691,220.791,565.795,565.795,2.9,2.9,0.0,0.0,0.0,12.0,14.9,06:30,01.01.2023
1.06,1.02,1.08,0.41,0.37,33.26435,17.43,15.83,1.0,399.23,7.02,0.0027,221.9,221.3,219.4,579.9,579.9,4.26,4.26,0.0,0.0,0.0,29.0,33.26,06:35,01.01.2023
